| Budget Level | Valid Acc (%) | Test Acc (%) | Test Top5 Acc (%) | NLPD | ECE | Test FLOPs (M) | Exit 1 (%) | Exit 2 (%) | Exit 3 (%) | Exit 4 (%) |
|--------------|---------------|--------------|-------------------|------|-----|----------------|------------|------------|------------|------------|
| 1 only       | 77.9          | 61.2         | - | - | - | - | - | - | - | -  |
| 2 only       | 84.3          | 65.8         | - | - | - | - | - | - | - | -  |
| 3 only       | 91.8          | 69.5         | - | - | - | - | - | - | - | -  |
| 4 only       | 95.0          | 70.6         | - | - | - | - | - | - | - | -  |
| 1  | 79.68 | 61.71 | 87.42 | 1.550| 0.134| 6.95  | 96.2 | 3.7  | 0.2  | 4.4  |
| 2  | 81.20 | 62.63 | 87.90 | 1.542| 0.143| 7.11  | 90.7 | 8.9  | 1.2  | 2.2  |
| 3  | 82.64 | 63.49 | 88.08 | 1.544| 0.152| 7.31  | 85.5 | 12.8 | 3.4  | 3.4  |
| 4  | 84.58 | 64.63 | 88.64 | 1.533| 0.159| 7.59  | 80.1 | 16.4 | 5.7  | 5.3  |
| 5  | 85.92 | 65.53 | 88.88 | 1.529| 0.168| 7.91  | 74.5 | 19.6 | 7.9  | 8.4  |
| 6  | 87.48 | 66.69 | 89.16 | 1.524| 0.174| 8.28  | 69.4 | 21.8 | 10.2 | 11.0 |
| 7  | 88.82 | 67.43 | 89.37 | 1.531| 0.180| 8.62  | 64.6 | 24.0 | 11.9 | 13.3 |
| 8  | 90.08 | 68.16 | 89.85 | 1.525| 0.186| 9.06  | 59.6 | 25.4 | 13.7 | 16.3 |
| 9  | 91.18 | 68.70 | 90.17 | 1.522| 0.191| 9.46  | 56.0 | 25.7 | 14.4 | 19.9 |
| 10 | 92.20 | 69.26 | 90.34 | 1.519| 0.195| 9.85  | 52.4 | 26.0 | 15.7 | 22.0 |
| 11 | 92.88 | 70.02 | 90.60 | 1.509| 0.194| 10.26 | 48.7 | 26.1 | 17.6 | 23.6 |
| 12 | 93.60 | 70.89 | 90.72 | 1.496| 0.191| 10.70 | 45.1 | 26.1 | 18.1 | 26.2 |
| 13 | 94.06 | 71.19 | 90.97 | 1.486| 0.190| 11.13 | 42.1 | 25.2 | 19.2 | 27.8 |
| 14 | 94.38 | 71.43 | 91.19 | 1.482| 0.189| 11.52 | 39.5 | 24.3 | 20.0 | 29.6 |
| 15 | 94.66 | 71.33 | 91.26 | 1.484| 0.191| 11.84 | 37.1 | 24.3 | 19.4 | 32.2 |
| 16 | 94.88 | 71.52 | 91.27 | 1.480| 0.189| 12.17 | 35.3 | 23.3 | 19.8 | 34.0 |
| 17 | 95.00 | 71.62 | 91.28 | 1.479| 0.187| 12.46 | 33.8 | 22.2 | 20.1 | 35.9 |
| 18 | 95.20 | 71.72 | 91.34 | 1.471| 0.186| 12.76 | 31.8 | 21.7 | 20.7 | 37.2 |
| 19 | 95.22 | 71.78 | 91.31 | 1.469| 0.183| 13.08 | 29.9 | 20.8 | 20.9 | 38.8 |
| 20 | 95.20 | 71.76 | 91.45 | 1.461| 0.182| 13.33 | 28.2 | 20.4 | 20.9 | 40.4 |
| 21 | 95.30 | 71.71 | 91.47 | 1.459| 0.180| 13.60 | 26.4 | 20.0 | 20.8 | 41.9 |
| 22 | 95.26 | 71.63 | 91.50 | 1.455| 0.179| 13.82 | 25.1 | 19.6 | 20.4 | 43.5 |
| 23 | 95.20 | 71.53 | 91.57 | 1.457| 0.178| 14.03 | 24.3 | 18.6 | 20.5 | 44.7 |
| 24 | 95.24 | 71.39 | 91.68 | 1.452| 0.177| 14.25 | 22.9 | 18.4 | 19.9 | 46.5 |
| 25 | 95.28 | 71.45 | 91.66 | 1.447| 0.176| 14.44 | 21.1 | 18.6 | 20.0 | 47.1 |
| 26 | 95.42 | 71.41 | 91.69 | 1.446| 0.175| 14.60 | 20.0 | 18.3 | 20.3 | 47.9 |
| 27 | 95.40 | 71.41 | 91.74 | 1.442| 0.174| 14.77 | 19.0 | 17.8 | 20.4 | 48.8 |
| 28 | 95.32 | 71.41 | 91.72 | 1.440| 0.172| 14.91 | 18.0 | 17.7 | 20.4 | 49.7 |
| 29 | 95.32 | 71.35 | 91.70 | 1.439| 0.172| 15.09 | 17.1 | 17.1 | 20.5 | 50.8 |
| 30 | 95.28 | 71.31 | 91.70 | 1.436| 0.171| 15.23 | 16.3 | 16.8 | 20.4 | 51.8 |
| 31 | 95.28 | 71.30 | 91.70 | 1.432| 0.169| 15.38 | 15.4 | 16.4 | 20.1 | 53.0 |
| 32 | 95.28 | 71.22 | 91.69 | 1.432| 0.169| 15.50 | 15.0 | 15.8 | 20.2 | 53.8 |
| 33 | 95.28 | 71.14 | 91.71 | 1.432| 0.169| 15.62 | 14.3 | 15.5 | 20.1 | 54.6 |
| 34 | 95.24 | 71.14 | 91.76 | 1.426| 0.168| 15.72 | 13.6 | 15.3 | 20.3 | 55.0 |
| 35 | 95.22 | 71.12 | 91.78 | 1.424| 0.168| 15.84 | 12.7 | 15.2 | 20.4 | 55.6 |
| 36 | 95.22 | 71.07 | 91.78 | 1.423| 0.167| 15.93 | 12.4 | 14.9 | 20.0 | 56.7 |
| 37 | 95.22 | 71.07 | 91.75 | 1.420| 0.166| 16.04 | 11.9 | 14.6 | 19.7 | 57.6 |
| 38 | 95.20 | 71.05 | 91.77 | 1.420| 0.166| 16.12 | 11.3 | 14.5 | 19.7 | 58.2 |
| 39 | 95.20 | 71.03 | 91.74 | 1.419| 0.166| 16.22 | 10.8 | 14.2 | 19.5 | 58.9 |
