Sample	Classifier_Exit	Probe_Exit	Min_Exit	Decision_Maker
7100	1	1	1	same
7112	4	4	4	same
7114	1	4	1	classifier
7134	1	1	1	same
7141	4	4	4	same
7142	2	3	2	classifier
7148	2	3	2	classifier
7150	4	4	4	same
7161	4	4	4	same
7163	2	2	2	same
7173	3	3	3	same
7179	2	2	2	same
7183	2	2	2	same
7185	4	4	4	same
7195	3	3	3	same
7196	1	1	1	same
7208	1	1	1	same
7210	2	1	1	probe
7218	1	1	1	same
7221	2	2	2	same
7223	1	1	1	same
7225	3	4	3	classifier
7230	4	4	4	same
7236	2	2	2	same
7240	2	2	2	same
7246	2	4	2	classifier
7255	2	2	2	same
7256	4	2	2	probe
7265	1	3	1	classifier
7270	2	2	2	same
7275	4	2	2	probe
7285	1	1	1	same
7292	4	4	4	same
7293	3	3	3	same
7297	3	1	1	probe
7299	3	2	2	probe
7302	1	1	1	same
7305	4	4	4	same
7308	4	2	2	probe
7311	4	4	4	same
7314	1	1	1	same
7320	1	1	1	same
7333	2	4	2	classifier
7341	4	4	4	same
7343	1	1	1	same
7346	2	2	2	same
7349	1	1	1	same
7352	4	4	4	same
7355	4	4	4	same
7358	2	2	2	same
7369	4	4	4	same
7379	4	4	4	same
7382	4	4	4	same
7384	1	1	1	same
7392	4	1	1	probe
7397	1	1	1	same
7399	4	4	4	same
7404	1	1	1	same
7417	3	3	3	same
7424	1	1	1	same
7426	4	3	3	probe
7429	4	1	1	probe
7432	4	4	4	same
7433	4	3	3	probe
7444	2	3	2	classifier
7445	4	4	4	same
7455	2	2	2	same
7467	2	2	2	same
7473	4	4	4	same
7475	1	1	1	same
7480	1	1	1	same
7481	4	2	2	probe
7485	3	3	3	same
7503	1	1	1	same
7522	3	3	3	same
7524	1	1	1	same
7532	1	1	1	same
7541	3	4	3	classifier
7553	1	1	1	same
7557	4	4	4	same
7564	4	4	4	same
7568	1	1	1	same
7572	1	1	1	same
7573	1	4	1	classifier
7576	2	4	2	classifier
7577	3	3	3	same
7580	4	4	4	same
7588	4	4	4	same
7608	4	1	1	probe
7611	1	1	1	same
7630	1	1	1	same
7632	1	4	1	classifier
7636	3	3	3	same
7639	1	4	1	classifier
7646	1	1	1	same
7652	2	2	2	same
7656	1	1	1	same
7657	1	1	1	same
7665	2	2	2	same
7671	3	4	3	classifier
7672	2	3	2	classifier
7685	4	4	4	same
7689	4	4	4	same
7691	1	1	1	same
7696	4	4	4	same
7697	1	1	1	same
7710	4	1	1	probe
7711	4	4	4	same
7713	4	4	4	same
7715	3	3	3	same
7717	3	2	2	probe
7721	2	2	2	same
7727	4	4	4	same
7735	2	1	1	probe
7743	4	4	4	same
7750	1	1	1	same
7751	4	4	4	same
7757	4	4	4	same
7759	4	1	1	probe
7762	1	1	1	same
7763	1	2	1	classifier
7770	4	1	1	probe
7772	4	3	3	probe
7780	4	4	4	same
7783	4	4	4	same
7787	1	1	1	same
7790	1	1	1	same
7793	1	3	1	classifier
7795	4	1	1	probe
7799	1	1	1	same
7804	4	4	4	same
7811	4	4	4	same
7817	3	4	3	classifier
7819	2	2	2	same
7824	1	1	1	same
7835	4	4	4	same
7839	1	1	1	same
7846	4	4	4	same
7848	4	4	4	same
7858	4	4	4	same
7859	4	4	4	same
7863	2	2	2	same
7872	2	2	2	same
7873	3	3	3	same
7874	1	1	1	same
7889	4	4	4	same
7891	4	2	2	probe
7894	4	4	4	same
7895	3	3	3	same
7897	3	3	3	same
7904	4	3	3	probe
7907	2	2	2	same
7909	2	3	2	classifier
7921	4	3	3	probe
7928	1	1	1	same
7943	2	2	2	same
7950	2	2	2	same
7956	1	1	1	same
7959	4	4	4	same
7974	4	4	4	same
7977	3	3	3	same
7980	4	4	4	same
7982	4	1	1	probe
7983	3	3	3	same
7987	1	1	1	same
7993	4	4	4	same
8000	2	1	1	probe
8002	4	3	3	probe
8003	4	4	4	same
8004	3	3	3	same
8013	1	1	1	same
8038	3	3	3	same
8051	4	4	4	same
8059	3	3	3	same
8062	2	2	2	same
8063	2	2	2	same
8068	3	3	3	same
8070	4	3	3	probe
8071	1	1	1	same
8072	4	1	1	probe
8078	4	2	2	probe
8079	1	1	1	same
8083	4	4	4	same
8089	1	1	1	same
8095	4	4	4	same
8102	2	2	2	same
8107	4	3	3	probe
8113	4	4	4	same
8117	4	4	4	same
8118	4	3	3	probe
8126	1	1	1	same
8133	4	4	4	same
8137	1	2	1	classifier
8139	1	1	1	same
8142	1	1	1	same
8150	3	3	3	same
8159	4	1	1	probe
8160	3	2	2	probe
8186	2	2	2	same
8194	4	4	4	same
8200	3	3	3	same
8201	4	4	4	same
8207	4	1	1	probe
8213	3	3	3	same
8216	4	4	4	same
8219	3	3	3	same
8223	2	2	2	same
8225	1	1	1	same
8226	4	4	4	same
8230	4	4	4	same
8235	1	1	1	same
8241	2	2	2	same
8261	3	3	3	same
8270	4	2	2	probe
8271	2	3	2	classifier
8272	4	4	4	same
8278	2	2	2	same
8295	4	1	1	probe
8297	2	2	2	same
8305	1	1	1	same
8320	3	4	3	classifier
8323	1	1	1	same
8325	2	2	2	same
8330	1	1	1	same
8338	1	1	1	same
8345	3	3	3	same
8346	1	1	1	same
8355	4	3	3	probe
8363	3	4	3	classifier
8381	4	2	2	probe
8383	3	3	3	same
8388	1	1	1	same
8394	4	3	3	probe
8400	1	1	1	same
8403	2	4	2	classifier
8412	1	1	1	same
8427	1	1	1	same
8445	3	3	3	same
8448	4	4	4	same
8450	1	3	1	classifier
8463	4	4	4	same
8464	2	2	2	same
8465	2	2	2	same
8466	2	1	1	probe
8483	1	1	1	same
8497	4	4	4	same
8498	1	1	1	same
8501	1	1	1	same
8512	4	4	4	same
8516	2	2	2	same
8518	4	4	4	same
8556	3	3	3	same
8577	3	3	3	same
8588	4	4	4	same
8589	3	3	3	same
8594	4	4	4	same
8602	4	4	4	same
8615	2	2	2	same
8617	4	4	4	same
8622	4	4	4	same
8623	2	2	2	same
8625	2	2	2	same
8630	3	4	3	classifier
8631	2	2	2	same
8634	2	4	2	classifier
8635	1	1	1	same
8639	4	4	4	same
8642	4	1	1	probe
8647	4	4	4	same
8651	4	2	2	probe
8655	4	4	4	same
8663	2	2	2	same
8666	1	1	1	same
8679	4	4	4	same
8692	3	3	3	same
8698	4	4	4	same
8700	1	1	1	same
8712	4	4	4	same
8716	4	2	2	probe
8747	1	1	1	same
8748	2	3	2	classifier
8749	1	1	1	same
8759	1	1	1	same
8762	3	4	3	classifier
8772	4	4	4	same
8800	4	3	3	probe
8806	4	2	2	probe
8807	1	1	1	same
8819	4	3	3	probe
8823	4	2	2	probe
8824	3	3	3	same
8828	4	4	4	same
8831	2	4	2	classifier
8850	4	4	4	same
8854	4	4	4	same
8856	4	3	3	probe
8858	2	4	2	classifier
8863	2	2	2	same
8865	4	1	1	probe
8877	4	4	4	same
8878	4	4	4	same
8887	2	2	2	same
8892	2	4	2	classifier
8895	2	2	2	same
8897	1	1	1	same
8921	4	4	4	same
8937	1	1	1	same
8944	4	4	4	same
8949	3	3	3	same
8951	1	1	1	same
8963	1	1	1	same
8965	3	3	3	same
8967	3	3	3	same
8969	1	1	1	same
8987	1	1	1	same
8995	4	4	4	same
8997	4	4	4	same
9004	1	1	1	same
9013	3	3	3	same
9014	2	3	2	classifier
9027	3	3	3	same
9029	1	1	1	same
9031	1	1	1	same
9034	4	2	2	probe
9042	4	4	4	same
9047	3	4	3	classifier
9050	3	3	3	same
9060	1	3	1	classifier
9062	3	3	3	same
9068	4	4	4	same
9088	2	2	2	same
9093	2	2	2	same
9095	4	1	1	probe
9097	1	1	1	same
9101	1	1	1	same
9104	2	4	2	classifier
9111	4	4	4	same
9120	1	1	1	same
9123	1	1	1	same
9124	4	4	4	same
9132	1	4	1	classifier
9140	2	2	2	same
9145	2	2	2	same
9150	2	2	2	same
9151	1	1	1	same
9152	2	2	2	same
9157	2	4	2	classifier
9160	2	2	2	same
9166	3	3	3	same
9190	2	2	2	same
9209	4	4	4	same
9212	4	1	1	probe
9214	2	2	2	same
9217	3	2	2	probe
9222	4	4	4	same
9225	4	4	4	same
9229	4	3	3	probe
9241	4	4	4	same
9257	4	2	2	probe
9269	3	1	1	probe
9272	4	4	4	same
9279	2	1	1	probe
9281	4	3	3	probe
9285	2	2	2	same
9298	1	1	1	same
9308	4	3	3	probe
9309	2	4	2	classifier
9311	2	2	2	same
9323	4	4	4	same
9348	4	4	4	same
9359	2	2	2	same
9360	1	1	1	same
9375	4	4	4	same
9376	1	1	1	same
9381	2	1	1	probe
9383	4	3	3	probe
9384	4	4	4	same
9397	2	2	2	same
9408	4	4	4	same
9413	4	4	4	same
9424	4	4	4	same
9428	2	2	2	same
9433	4	4	4	same
9443	1	1	1	same
9448	2	2	2	same
9450	3	2	2	probe
9455	3	3	3	same
9459	4	2	2	probe
9464	2	2	2	same
9468	2	2	2	same
9471	4	4	4	same
9477	4	4	4	same
9488	4	4	4	same
9494	4	4	4	same
9502	2	2	2	same
9503	1	1	1	same
9508	1	4	1	classifier
9539	4	4	4	same
9548	4	2	2	probe
9552	3	3	3	same
9553	3	4	3	classifier
9561	1	1	1	same
9567	4	4	4	same
9568	4	4	4	same
9583	4	4	4	same
9589	4	4	4	same
9590	2	2	2	same
9591	2	4	2	classifier
9601	1	1	1	same
9606	4	4	4	same
9608	4	4	4	same
9609	3	4	3	classifier
9613	4	4	4	same
9623	1	1	1	same
9640	3	3	3	same
9666	4	1	1	probe
9669	2	2	2	same
9683	4	1	1	probe
9686	1	1	1	same
9699	1	1	1	same
9703	2	2	2	same
9707	1	1	1	same
9709	3	2	2	probe
9720	4	4	4	same
9728	4	4	4	same
9730	4	4	4	same
9739	4	4	4	same
9756	3	4	3	classifier
9758	4	4	4	same
9759	4	4	4	same
9769	4	4	4	same
9770	1	1	1	same
9784	2	2	2	same
9792	4	4	4	same
9795	3	1	1	probe
9798	4	1	1	probe
9812	1	1	1	same
9813	4	4	4	same
9820	3	3	3	same
9827	2	4	2	classifier
9832	2	2	2	same
9837	2	2	2	same
9843	3	2	2	probe
9855	2	2	2	same
9859	3	3	3	same
9868	1	1	1	same
9870	1	1	1	same
9875	4	4	4	same
9881	4	1	1	probe
9883	4	4	4	same
9885	4	4	4	same
9887	1	2	1	classifier
9895	3	4	3	classifier
9933	4	4	4	same
9935	4	3	3	probe
9936	4	2	2	probe
9946	3	2	2	probe
9949	3	3	3	same
9952	2	3	2	classifier
9953	1	1	1	same
9962	1	3	1	classifier
9971	2	2	2	same
9976	2	2	2	same
9984	2	2	2	same
9988	4	4	4	same
9994	4	3	3	probe
