Sample	Classifier_Exit	Probe_Exit	Min_Exit	Decision_Maker
601	3	3	3	same
603	1	4	1	classifier
640	2	4	2	classifier
643	3	2	2	probe
646	4	4	4	same
648	1	1	1	same
656	2	2	2	same
663	4	4	4	same
664	1	1	1	same
673	2	2	2	same
678	3	3	3	same
695	4	1	1	probe
700	4	4	4	same
701	2	2	2	same
702	4	4	4	same
709	1	2	1	classifier
717	1	1	1	same
720	1	1	1	same
723	1	1	1	same
743	3	3	3	same
782	4	3	3	probe
787	2	4	2	classifier
794	2	2	2	same
798	1	1	1	same
800	2	2	2	same
806	3	3	3	same
810	3	4	3	classifier
820	1	4	1	classifier
824	3	3	3	same
826	2	2	2	same
827	4	1	1	probe
838	4	4	4	same
840	4	4	4	same
845	3	3	3	same
847	2	2	2	same
854	4	4	4	same
855	4	4	4	same
857	4	4	4	same
860	4	4	4	same
865	1	1	1	same
866	4	4	4	same
870	1	1	1	same
871	4	4	4	same
875	2	2	2	same
883	4	4	4	same
884	2	2	2	same
886	4	4	4	same
894	1	1	1	same
897	1	1	1	same
900	4	4	4	same
904	4	4	4	same
914	1	1	1	same
915	3	4	3	classifier
920	2	2	2	same
937	4	4	4	same
948	2	2	2	same
951	4	4	4	same
956	1	1	1	same
960	4	4	4	same
962	1	1	1	same
967	3	2	2	probe
976	2	4	2	classifier
979	4	4	4	same
985	4	4	4	same
991	4	4	4	same
994	2	2	2	same
1000	4	4	4	same
1001	1	1	1	same
1007	2	3	2	classifier
1008	2	2	2	same
1011	4	1	1	probe
1012	1	1	1	same
1022	1	3	1	classifier
1033	2	2	2	same
1035	2	2	2	same
1058	3	1	1	probe
1061	3	2	2	probe
1068	1	1	1	same
1069	1	1	1	same
1072	1	1	1	same
1073	3	3	3	same
1085	2	2	2	same
1094	3	1	1	probe
1099	4	2	2	probe
1100	1	1	1	same
1102	4	4	4	same
1113	2	2	2	same
1118	3	1	1	probe
1123	4	4	4	same
1134	4	3	3	probe
1137	2	2	2	same
1138	4	3	3	probe
1139	4	4	4	same
1140	3	3	3	same
1156	4	3	3	probe
1163	1	1	1	same
1165	4	4	4	same
1171	3	4	3	classifier
1176	3	3	3	same
1179	4	2	2	probe
1182	1	1	1	same
1185	3	2	2	probe
1188	1	1	1	same
1189	3	3	3	same
1193	1	1	1	same
1203	4	4	4	same
1214	1	1	1	same
1230	4	4	4	same
1236	4	3	3	probe
1238	4	4	4	same
1239	4	4	4	same
1240	2	2	2	same
1263	3	3	3	same
1266	3	2	2	probe
1272	4	4	4	same
1280	3	4	3	classifier
1281	1	1	1	same
1288	3	3	3	same
1309	1	1	1	same
1315	2	2	2	same
1316	4	4	4	same
1319	4	4	4	same
1325	4	1	1	probe
1328	1	4	1	classifier
1334	1	1	1	same
1336	4	4	4	same
1349	4	4	4	same
1353	4	4	4	same
1357	1	1	1	same
1371	4	4	4	same
1377	2	2	2	same
1384	4	4	4	same
1387	1	3	1	classifier
1402	3	3	3	same
1407	4	4	4	same
1410	1	2	1	classifier
1416	3	1	1	probe
1418	4	4	4	same
1429	2	2	2	same
1430	3	4	3	classifier
1433	4	4	4	same
1437	2	2	2	same
1439	4	4	4	same
1464	3	3	3	same
1465	1	1	1	same
1466	2	2	2	same
1477	2	1	1	probe
1479	2	1	1	probe
1482	4	4	4	same
1492	2	4	2	classifier
1494	2	3	2	classifier
1496	1	1	1	same
1500	4	4	4	same
1502	2	2	2	same
1504	3	1	1	probe
1511	3	1	1	probe
1512	1	1	1	same
1519	1	4	1	classifier
1527	3	4	3	classifier
1531	4	4	4	same
1539	1	1	1	same
1542	4	3	3	probe
1543	3	3	3	same
1549	4	4	4	same
1551	4	1	1	probe
1554	3	1	1	probe
1557	1	1	1	same
1559	1	2	1	classifier
1560	1	3	1	classifier
1582	1	1	1	same
1585	4	4	4	same
1601	1	1	1	same
1603	1	1	1	same
1605	2	2	2	same
1616	3	3	3	same
1622	1	1	1	same
1629	3	1	1	probe
1634	2	2	2	same
1636	4	4	4	same
1640	4	3	3	probe
1649	2	2	2	same
1656	2	2	2	same
1668	4	4	4	same
1670	2	2	2	same
1673	3	3	3	same
1676	4	4	4	same
1682	4	4	4	same
1689	4	4	4	same
1690	1	1	1	same
1692	1	1	1	same
1697	4	4	4	same
1701	2	2	2	same
1704	3	2	2	probe
1710	4	4	4	same
1717	4	4	4	same
1722	1	2	1	classifier
1725	3	3	3	same
1728	3	3	3	same
1739	4	2	2	probe
1754	3	3	3	same
1763	2	2	2	same
1768	4	4	4	same
1778	1	2	1	classifier
1779	3	3	3	same
1782	1	1	1	same
1785	1	1	1	same
1791	4	4	4	same
1792	4	4	4	same
1794	4	4	4	same
1801	2	2	2	same
1815	4	4	4	same
1817	3	4	3	classifier
1820	4	4	4	same
1821	1	1	1	same
1827	4	3	3	probe
1830	4	3	3	probe
1836	1	4	1	classifier
1868	4	4	4	same
1869	4	4	4	same
1894	1	1	1	same
1912	3	3	3	same
1914	4	4	4	same
1916	4	4	4	same
1917	4	1	1	probe
1927	4	4	4	same
1929	1	2	1	classifier
1930	4	4	4	same
1934	4	4	4	same
1939	2	2	2	same
1944	1	1	1	same
1948	3	4	3	classifier
1949	3	2	2	probe
1964	3	3	3	same
1987	4	1	1	probe
1989	4	4	4	same
1993	1	1	1	same
2032	1	1	1	same
2034	2	2	2	same
2043	2	1	1	probe
2045	3	4	3	classifier
2051	4	4	4	same
2052	4	4	4	same
2056	2	2	2	same
2071	1	1	1	same
2075	2	3	2	classifier
2076	4	3	3	probe
2081	1	1	1	same
2093	3	3	3	same
2103	4	4	4	same
2105	2	2	2	same
2107	4	4	4	same
2119	4	4	4	same
2127	4	4	4	same
2136	4	2	2	probe
2152	2	2	2	same
2158	2	2	2	same
2166	4	2	2	probe
2168	1	1	1	same
2170	3	2	2	probe
2172	1	1	1	same
2173	3	1	1	probe
2186	2	2	2	same
2192	1	1	1	same
2194	4	3	3	probe
2207	2	2	2	same
2209	3	4	3	classifier
2215	4	2	2	probe
2218	1	1	1	same
2226	4	4	4	same
2227	4	4	4	same
2230	4	4	4	same
2245	2	2	2	same
2250	1	1	1	same
2261	4	4	4	same
2273	2	2	2	same
2279	4	4	4	same
2284	1	1	1	same
2300	4	4	4	same
2308	2	2	2	same
2309	4	4	4	same
2312	3	3	3	same
2328	2	4	2	classifier
2330	4	2	2	probe
2331	1	1	1	same
2339	3	3	3	same
2341	3	2	2	probe
2342	4	4	4	same
2344	4	4	4	same
2345	4	2	2	probe
2347	4	4	4	same
2358	1	1	1	same
2365	4	4	4	same
2369	3	1	1	probe
2377	2	4	2	classifier
2379	1	1	1	same
2383	3	3	3	same
2384	3	3	3	same
2387	4	3	3	probe
2390	1	1	1	same
2392	1	1	1	same
2393	4	4	4	same
2401	4	4	4	same
2420	4	3	3	probe
2424	4	4	4	same
2425	4	4	4	same
2428	3	3	3	same
2433	2	2	2	same
2438	4	3	3	probe
2456	2	2	2	same
2464	4	4	4	same
2466	3	3	3	same
2474	4	4	4	same
2475	4	4	4	same
2482	1	1	1	same
2490	3	4	3	classifier
2498	4	4	4	same
2506	1	1	1	same
2509	3	3	3	same
2517	4	4	4	same
2519	4	4	4	same
2534	4	4	4	same
2535	1	1	1	same
2541	1	1	1	same
2548	4	2	2	probe
2555	2	1	1	probe
2560	1	1	1	same
2569	4	4	4	same
2575	1	1	1	same
2577	1	1	1	same
2583	2	2	2	same
2587	4	4	4	same
2588	3	3	3	same
2595	3	3	3	same
2597	4	3	3	probe
2606	2	2	2	same
2610	2	2	2	same
2611	4	2	2	probe
2614	2	3	2	classifier
2615	4	4	4	same
2620	2	2	2	same
2623	4	4	4	same
2632	4	4	4	same
2636	1	1	1	same
2638	3	1	1	probe
2640	4	4	4	same
2641	4	4	4	same
2667	4	4	4	same
2671	4	4	4	same
2673	4	1	1	probe
2679	1	1	1	same
2681	2	2	2	same
2682	2	4	2	classifier
2685	1	1	1	same
2702	3	3	3	same
2703	3	3	3	same
2713	4	4	4	same
2719	3	2	2	probe
2721	4	4	4	same
2722	1	2	1	classifier
2726	3	3	3	same
2728	1	1	1	same
2733	3	4	3	classifier
2745	4	4	4	same
2758	2	2	2	same
2759	3	3	3	same
2760	4	4	4	same
2761	4	4	4	same
2765	4	3	3	probe
2769	3	3	3	same
2772	3	3	3	same
2776	4	4	4	same
2789	3	4	3	classifier
2792	1	1	1	same
2803	4	4	4	same
2804	3	3	3	same
2808	1	1	1	same
2809	2	2	2	same
2815	4	4	4	same
2820	4	2	2	probe
2824	1	1	1	same
2826	4	4	4	same
2827	1	1	1	same
2833	4	4	4	same
2837	2	4	2	classifier
2843	1	1	1	same
2844	3	3	3	same
2846	1	1	1	same
2853	4	2	2	probe
2858	2	1	1	probe
2863	2	2	2	same
2869	4	4	4	same
2870	4	4	4	same
2877	1	1	1	same
2891	2	2	2	same
2901	1	1	1	same
2919	4	4	4	same
2920	4	4	4	same
2924	4	3	3	probe
2928	1	1	1	same
2934	4	4	4	same
2941	4	4	4	same
2942	4	4	4	same
2955	2	2	2	same
2957	3	3	3	same
2967	4	4	4	same
2970	1	1	1	same
2976	3	3	3	same
2977	2	1	1	probe
2982	1	1	1	same
2983	2	2	2	same
2997	3	1	1	probe
3007	1	1	1	same
3009	1	1	1	same
3010	4	4	4	same
3011	4	4	4	same
3012	4	4	4	same
3019	3	3	3	same
3023	2	2	2	same
3028	1	2	1	classifier
3031	4	4	4	same
3037	2	2	2	same
3039	1	1	1	same
3040	2	3	2	classifier
3050	2	4	2	classifier
3059	4	4	4	same
3062	3	4	3	classifier
3070	3	4	3	classifier
3074	1	1	1	same
3079	2	2	2	same
3084	1	1	1	same
3087	3	3	3	same
3088	4	2	2	probe
3091	1	1	1	same
3093	4	4	4	same
3094	4	4	4	same
3097	2	2	2	same
3099	3	4	3	classifier
3102	4	4	4	same
3113	4	3	3	probe
3120	3	2	2	probe
3138	3	3	3	same
3144	2	1	1	probe
3147	1	1	1	same
3151	3	3	3	same
3184	4	4	4	same
3185	3	3	3	same
3191	4	1	1	probe
3201	2	4	2	classifier
3218	1	4	1	classifier
3221	1	2	1	classifier
3222	3	4	3	classifier
3231	2	2	2	same
3233	3	4	3	classifier
3235	1	1	1	same
3236	1	1	1	same
3244	1	1	1	same
3248	4	3	3	probe
3252	3	4	3	classifier
3254	2	2	2	same
3262	4	4	4	same
3263	4	4	4	same
3266	1	1	1	same
3274	2	2	2	same
3284	1	1	1	same
3286	3	2	2	probe
3295	4	4	4	same
3296	4	4	4	same
3304	1	1	1	same
3305	2	2	2	same
3306	2	4	2	classifier
3307	1	1	1	same
3326	2	3	2	classifier
3327	2	2	2	same
3332	4	4	4	same
3336	2	2	2	same
3340	2	3	2	classifier
3342	1	3	1	classifier
3348	3	3	3	same
3350	3	4	3	classifier
3362	1	1	1	same
3365	4	4	4	same
3368	2	1	1	probe
3369	4	4	4	same
3374	2	2	2	same
3379	4	4	4	same
3380	4	4	4	same
3381	4	4	4	same
3382	4	4	4	same
3397	4	4	4	same
3405	3	3	3	same
3408	3	3	3	same
3425	4	4	4	same
